level_0,index,Category_L1,Category_L2,Category_L3,Category_L4,Category_L4_includefeed,Category_L0,Material_Group,Material,Material_Description,Text,Vendor_Country,Vendor_Name,Vendor_Code,Vendor_City,Vendor_Latitude,Vendor_Longitude,Plant_Country,Plant_Code,Plant_Name,Base_Unit_of_Measure,Converted_units,Fiscal_Year,Quantity,Product_weight_in_tonnes,Municipality,Conversion_name,Conversion_factor,Category_L4_LCA,LCA_match,LCA_match_animal_husbandry,Locally_sourced_update,Fabio_source_commodity,Harvest_Country,Converted crop weight (tonnes),unique_id_x,Global Warming Potential (kg CO2-Eq),Air Pollution (kg PM2.5-Eq),Land Use (m2),Water Pollution (kg P eq),Land Transformation (m2),Soil Pollution (kg SO2 eq),Water Use (m3)
10,10,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053000,BA Unbranded Rum   0 Y 94.40% UN DIST,BA Unbranded Rum   0 Y 94.40% UN DIST,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,226485.7875,194.61645,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/GT Economic",N/A,No,N/A,Guatemala,832.6684297,"Sugar cane, at farm/GT Economic",74108.7928,47.90041299,144733.5531,42.40901049,35101.59407,143.2363768,5981.506961
11,11,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053900,BD GUY COL STILL RUM  UMS,BD GUY COL STILL RUM  UMS,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,81551.295,70.076475,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/GT Economic",N/A,No,N/A,Guatemala,299.8209711,"Sugar cane, at farm/GT Economic",26684.53544,17.24761961,52114.56671,15.2703168,12639.11738,51.57547478,2153.775935
12,12,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053400,BD GUY COL RUM COLRD  SV,BD GUY COL RUM COLRD  SV,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,12780.9675,10.982475,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/GT Economic",N/A,No,N/A,Guatemala,46.98885637,"Sugar cane, at farm/GT Economic",4182.081722,2.703099512,8167.553727,2.393210589,1980.840996,8.083065597,337.5463287
13,13,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053700,BD GUY COL RUM UNCLRD  SVW,BD GUY COL RUM UNCLRD  SVW,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,10802.4525,9.28305,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/GT Economic",N/A,No,N/A,Guatemala,39.71490335,"Sugar cane, at farm/GT Economic",3534.688525,2.284655217,6903.202842,2.022737614,1674.20352,6.831793615,285.2935963
14,14,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053000,BA Unbranded Rum   0 Y 94.40% UN DIST,BA Unbranded Rum   0 Y 94.40% UN DIST,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,226485.7875,194.61645,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/DO Economic",N/A,No,N/A,Dominican Republic,832.6684297,"Sugar cane, at farm/DO Economic",74108.7928,47.90041299,144733.5531,42.40901049,35101.59407,143.2363768,5981.506961
15,15,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053900,BD GUY COL STILL RUM  UMS,BD GUY COL STILL RUM  UMS,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,81551.295,70.076475,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/DO Economic",N/A,No,N/A,Dominican Republic,299.8209711,"Sugar cane, at farm/DO Economic",26684.53544,17.24761961,52114.56671,15.2703168,12639.11738,51.57547478,2153.775935
16,16,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053400,BD GUY COL RUM COLRD  SV,BD GUY COL RUM COLRD  SV,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,12780.9675,10.982475,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/DO Economic",N/A,No,N/A,Dominican Republic,46.98885637,"Sugar cane, at farm/DO Economic",4182.081722,2.703099512,8167.553727,2.393210589,1980.840996,8.083065597,337.5463287
17,17,Raw Materials,Bought in Liquid,Matured Rum,Matured Rum,,Bought in liquids,RAW RUM (143),3100053700,BD GUY COL RUM UNCLRD  SVW,BD GUY COL RUM UNCLRD  SVW,CA,DEMERARA DISTILLERS LTD (USD) (ERS),5000037141,POINTE CLAIRE,45.450878,-73.791719,CA,VFS1,Diageo SIT - Valleyfield,LPA,LPA,F22,10802.4525,9.28305,N/A,Rum TO molasses from sugarcane SAM,0.003676471,Sugarcane,"Sugar cane, at farm/DO Economic",N/A,No,N/A,Dominican Republic,39.71490335,"Sugar cane, at farm/DO Economic",3534.688525,2.284655217,6903.202842,2.022737614,1674.20352,6.831793615,285.2935963
18,18,Raw Materials,Raw Materials & Liquid,Cereals,Sorghum,,Raw materials,SORGHUM (111A),960598,GRAIN- SORGHUM,GRAIN- SORGHUM,ET,ABAY LEGESE DESTA,1000149875,GAMBELA,7.61844,34.68933,ET,SE7,Sebeta Plant,Kg,Kg,F22,42540,42.54,N/A,,N/A,Sorghum,"Sorghum grain, at farm/EG Economic",N/A,Yes,N/A,Ethiopia,42.54,"Sorghum grain, at farm/EG Economic",20355.05882,152.7186,39741.23591,16.35977328,403.7933893,142.5579193,9581.728973
19,19,Raw Materials,Raw Materials & Liquid,Other - Raw Materials & Liquid,Grapes & Wine,,Raw materials,Raisin and Grape,10100200017,NARİNCE ŞARAPLIK   YAŞ ÜZÜM,N/A,TR,ABBAS KARAGÖL,5041461,N/A,N/A,N/A,TR,N/A,N/A,KG,Kg,F22,6168,6.168,N/A,Grapes TO Wine,1.398394896,Grapes,grape//[RoW] grape production,N/A,Yes,N/A,Türkiye,8.625299719,grape//[RoW] grape production,1054.480066,2.527816589,2928.105104,0.4554314801,0.05483204033,6.039335241,904.5931435
